type produit;numero AMM;nom produit;catégorie de condition d’emploi;condition d’emploi libelle;
PPP;2110067;AAT GLY360;Respect LMR;Condition: - un délai avant récolte de 30 jours pour les cultures potagères et de 21 jours pour les cultures fruitières est recommandé. Ce délai est porté à 90 jours pour le kiwi et ramené à 7 jours pour l'olive ainsi que pour les grandes cultures;
PPP;2110067;AAT GLY360;Résistances;Condition: - alterner ou associer sur une même parcelle des préparations à base de substances actives à modes d'action différents, tant au cours d'une saison culturale que dans la rotation.;
PPP;2050050;SOLTERNET ALLEES LIQUIDE;Protection de l'opérateur;Condition: Le port de gants est recommandé.;
PPP;8000156;TECTO 20 S;Environnement milieu;Condition: Traitement obligatoire des eaux de rinçage rejetées.;
PPP;8000156;TECTO 20 S;Protection de l'opérateur;Condition: Les produits traités ne doivent être manipulés qu'après séchage complet et avec port de gants pour les manipulateurs.;
PPP;9000526;MERTECT-20-S;Environnement milieu;Condition: Traitement obligatoire des eaux de rinçage rejetées.;
PPP;9000526;MERTECT-20-S;Protection de l'opérateur;Condition: Les produits traités ne doivent être manipulés qu'après séchage complet et avec port de gants pour les manipulateurs.;
PPP;2030172;DEFI JARDIN;Environnement milieu;Condition: Ne pas traiter sur un terrain risquant un entraînement vers un point d'eau (ruisseau, étang, mare, puits...) en particulier si le terrain est en pente.;
PPP;2030172;DEFI JARDIN;Protection de l'opérateur;Condition: Porter des Gants et un Vêtement de protection pendant les phases de mélange et de chargement.;
PPP;2030172;DEFI JARDIN;Délai de rentrée;Condition: -Délai de rentrée : 48 heures.;
PPP;9600529;AURORA;Protection de l'opérateur;Condition: Port de gants et de vêtement de protection pour les applicateurs en raison du caractère irritant et sensibilisant de la préparation Délai de réentrée des travailleurs sur la culture: 48 heures après le traitement;
PPP;9800282;CARAMBA 90;Protection de l'opérateur;Condition: Porter des gants et un vêtement de protection approprié pendant les phases de mélange/chargement et d'application .;
PPP;9800282;CARAMBA 90;Délai de rentrée;Condition: -Délai de rentrée : 6 heures.;
PPP;9800282;CARAMBA 90;Environnement faune;Condition: -Pour protéger les organismes aquatiques, respecter une zone non traitée de 5 mètres par rapport aux points d'eau.;
PPP;9800282;CARAMBA 90;Environnement faune;Condition: -Pour protéger les organismes aquatiques, respecter une zone non traitée comportant un dispositif végétalisé de 5 mètres par rapport aux points d'eau pour les usages sur céréales ainsi que sur crucifères oléagineuses avec application à l'automne (lutte contre le phoma).;
PPP;2110146;GENOXONE;Utilisation;Condition: Limiter l'application à un maximum de 4 souches/jour dans le cas de l'utilisation d'un pulvérisateur à pression préalable pour la dévitalisation des souches.;
PPP;2110146;GENOXONE;Délai de rentrée;Condition: Délai de rentrée : attendre Le séchage complet de la zone traitée.;
PPP;2110146;GENOXONE;Environnement milieu;Condition: -Ne pas traiter sur un terrain risquant un entraînement vers un point d'eau : ruisseau, étang, mare, puits,en particulier si le terrain est en pente.;
PPP;2110146;GENOXONE;Environnement faune;Condition: - Pour protéger les organismes aquatiques, respecter une zone non traitée de 5 mètres par rapport aux points d'eau.;
PPP;2110146;GENOXONE;Environnement flore;Condition: Ne pas appliquer la préparation sur les parties vertes des arbres feuillus et des plantes non-cibles.;
PPP;2110146;GENOXONE;Etiquetage;Condition: - Contient du triclopyr et du 2,4D. Peut produire une réaction allergique.;
PPP;2080061;MICENE PRO;Utilisation;Condition: - Agiter pendant l'application conformément aux bonnes pratiques agricoles.;
PPP;2080061;MICENE PRO;Environnement milieu;Condition: - SP 1 : Ne pas polluer l'eau avec le produit ou son emballage. [Ne pas nettoyer le matériel d'application près des eaux de surface. / Éviter la contamination via les systèmes d'évacuation des eaux à partir des cours de ferme ou des routes].;
PPP;2080061;MICENE PRO;Environnement faune;Condition: - SPe 3 : Pour protéger les organismes aquatiques, respecter une zone non traitée de 50 mètres par rapport aux points d'eau pour les usages sur pomme de terre.;
PPP;2080061;MICENE PRO;Environnement faune;Condition: - SPe 3 (spécifiques buses anti-dérives) : Pour protéger les organismes aquatiques, respecter une zone non traitée de 20 mètres par rapport aux points d'eau en prenant en compte une mesure d'atténuation de la dérive de 50% à l'aide de buse anti-dérive pour les usages sur pomme de terre.;
PPP;2080061;MICENE PRO;Environnement faune;Condition: - SPe 3 (spécifiques buses anti-dérives) : Pour protéger les organismes aquatiques, respecter une zone non traitée de 5 mètres par rapport aux points d'eau en prenant en compte une mesure d'atténuation de la dérive de 90% à l'aide de buse anti-dérive pour les usages sur pomme de terre.;
PPP;2080061;MICENE PRO;Environnement faune;Condition: - SPe 3 : Pour protéger les arthropodes non cibles, respecter une zone non traitée de 5 mètres par rapport à la zone non cultivée adjacente pour les usages sur tomates.;
PPP;2080061;MICENE PRO;Environnement faune;Condition: - SPe 3 (spécifiques buses anti-dérives) : Pour protéger les arthropodes non cibles, aucune zone non traitée par rapport à la zone non cultivée adjacente n'est à respecter lorsqu'une mesure d'atténuation de la dérive de 50% à l'aide de buse anti-dérive est appliquée pour les usages sur tomates.;
PPP;2080061;MICENE PRO;Environnement flore;Condition: - SPe 3 : Pour protéger les plantes non cibles, respecter une zone non traitée de 20 mètres par rapport à la zone non cultivée adjacente pour les usages sur tomates.;
PPP;2080061;MICENE PRO;Environnement flore;Condition: - SPe 3 (spécifiques buses anti-dérives) : Pour protéger les plantes non cibles, respecter une zone non traitée de 5 mètres par rapport à la zone non cultivée adjacente en prenant en compte une mesure d'atténuation de la dérive de 50% à l'aide de buse anti-dérive pour les usages sur tomates.;
PPP;2080061;MICENE PRO;Environnement flore;Condition: - SPe 3 (spécifiques buses anti-dérives) : Pour protéger les plantes non cibles, aucune zone non traitée par rapport à la zone non cultivée adjacente n'est à respecter lorsqu'une mesure d'atténuation de la dérive de 90% à l'aide de buse anti-dérive est appliquée pour les usages sur tomates.;
PPP;2080061;MICENE PRO;Délai de rentrée;Condition: 48 heures en cohérence avec l'arrêté du 4 mai 2017.;
PPP;2080061;MICENE PRO;Protection du travailleur;Condition: - Porter une combinaison de travail (cotte en coton/polyester 35%/65% - grammage d'au moins 230 g/m2) avec traitement déperlant et, en cas de contact avec la culture traitée, des gants en nitrile certifiés EN 374-3.;
PPP;2080061;MICENE PRO;Protection de l'opérateur;Condition: • pendant le mélange/chargement  - Gants en nitrile certifiés EN 374-3 .  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m2 ou plus avec traitement déperlant .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par dessus la combinaison précitée .  - Protections respiratoires certifiées : demi-masque certifié (EN 140) équipé d'un filtre P3 (EN143) ou A2P3 (EN 14387)  - Lunettes ou écran facial certifié norme EN 166 (CE, sigle 3) • pendant l'application - Pulvérisation vers le bas  Si application avec tracteur avec cabine  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m2 ou plus avec traitement déperlant .  - Gants en nitrile certifiés EN 374-2 à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation. Dans ce cas, les gants ne doivent être portés qu'à l'extérieur de la cabine et doivent être stockés après utilisation à l'extérieur de la cabine .  Si application avec tracteur sans cabine  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m2 ou plus avec traitement déperlant .  - Gants en nitrile certifiés EN 374-2 à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation .  • pendant le nettoyage du matériel de pulvérisation  - Gants en nitrile certifiés EN 374-3 .  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m2 ou plus avec traitement déperlant .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par dessus la combinaison précitée.;
PPP;2080061;MICENE PRO;Protection de l'opérateur;Condition: • pendant le mélange/chargement - Gants en nitrile certifiés EN 374-3 . - Combinaison de protection de catégorie III type 4 ou 3 (selon le niveau de protection recommandé pendant la phase d'application) . - Protections respiratoires certifiées : demi-masque certifié (EN 140) équipé d'un filtre P3 (EN143) ou A2P3 (EN 14387)  - Lunettes ou écran facial certifié norme EN 166 (CE, sigle 3)  OU - Gants en nitrile certifiés EN 374-3 . - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m2 ou plus avec traitement déperlant . - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par dessus la combinaison précitée . - Protections respiratoires certifiées : demi-masque certifié (EN 140) équipé d'un filtre P3 (EN143) ou A2P3 (EN 14387)  - Lunettes ou écran facial certifié norme EN 166 (CE, sigle 3) • pendant l'application : sans contact intense avec la végétation Culture haute (> 50 cm)  - Gants en nitrile certifiés EN 374-3 .  - Combinaison de protection de catégorie III type 4 avec capuche . - Bottes de protection certifiées EN 13 832-3 . • pendant l'application : contact intense avec la végétation, cultures hautes et basses  - Gants en nitrile certifiés EN 374-3 . - Combinaison de protection de catégorie III type 3 avec capuche.  - Bottes de protection certifiées EN 13 832-3 . • pendant le nettoyage du matériel de pulvérisation - Gants en nitrile certifiés EN 374-3 . - Combinaison de protection de catégorie III type 4 ou 3 (selon le niveau de protection recommandé pendant la phase d'application) . - Lunettes ou écran facial certifié norme EN 166 (CE, sigle 3) [en fonction du classement de la préparation]. OU - Gants en nitrile certifiés EN 374-3 . - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant . - EPI partiel (blouse) de catégorie III et de type PB (3) à porter par-dessus la combinaison précitée . ;
PPP;2080061;MICENE PRO;Résistances;Condition: - Spa 1 : Pour éviter le développement de résistances du mildiou de la pomme de terre à la substance bénalaxyl-M, le nombre d'application de la préparation MICENE PRO est limité à 2 applications maximum par cycle cultural sur pomme de terre. Afin de gérer les risques de résistance avec la préparation MICENE PRO, il est recommandé de suivre les limitations d'emploi par groupe chimique préconisées par la note relative à la gestion des résistances des maladies de la pomme de terre  ;
PPP;2080061;MICENE PRO;Respect LMR;Condition: -	Délai(s) avant récolte :  o	Pomme de terre : 7 jours o	Oignon : 28 jours o	Tomate : 3 jours ;
PPP;9800526;SUPER CAID APPATS BLEU;Utilisation;Condition: Ce produit doit être strictement utilisé selon les dispositions de l'arrêté du 14 mai 2014 relatif au contrôle des populations de campagnols nuisibles aux cultures ainsi qu'aux conditions d'emploi des produits phytopharmaceutiques contenant de la bromadiolone.;
PPP;9500135;LIMAGRI GR;Environnement milieu;Condition: - SP 1 : Ne pas polluer l'eau avec le produit ou son emballage. [Ne pas nettoyer le matériel d'application près des eaux de surface. / Éviter la contamination via les systèmes d'évacuation des eaux à partir des cours de ferme ou des routes].;
PPP;9500135;LIMAGRI GR;Environnement faune;Condition: - SPe 6 : Pour protéger les oiseaux et les mammifères sauvages, récupérer tout produit accidentellement répandu.;
