type produit;numero AMM;nom produit;seconds noms commerciaux;titulaire;type commercial;gamme usage;mentions autorisees;Substances actives;fonctions;formulations;identifiant usage lib court;identifiant usage; date decision;stade cultural min (BBCH);stade cultural max (BBCH);etat usage;dose retenue;dose retenue unite;delai avant recolte jour;delai avant recolte bbch;nombre max d'application;date fin distribution;date fin utilisation;condition emploi;ZNT aquatique (en m);ZNT arthropodes non cibles (en m);ZNT plantes non cibles (en m);mentions autorisees;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;00516012;Haricots et pois non écossés frais*Trt Part.Aer.*Maladies des taches brunes;15/07/2025;14;89;Autorisé;5.0;g/10 m²;3;;4;;;;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;00516013;Haricots et pois non écossés frais*Trt Part.Aer.*Mildiou(s);15/07/2025;14;89;Autorisé;5.0;g/10 m²;3;;4;;;;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;16613301;Laitue*Trt Part.Aer.*Bactériose(s);15/07/2025;12;49;Autorisé;5.0;g/10 m²;7;;4;;;Uniquement sous abri. ;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;16703208;Laitue*Trt Part.Aer.*Maladies des taches brunes;15/07/2025;12;49;Autorisé;5.0;g/10 m²;7;;4;;;Uniquement sous abri. ;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;16603207;Laitue*Trt Part.Aer.*Mildiou(s);15/07/2025;12;49;Autorisé;5.0;g/10 m²;7;;4;;;Uniquement sous abri. ;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;00211018;Noisetier*Trt Part.Aer.*Dépérissement cryptogamique;15/07/2025;95;53;Autorisé;5.0;g/10 m²;;;4;;;;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;16423301;Oignon*Trt Part.Aer.*Bactériose(s);15/07/2025;14;47;Autorisé;5.0;g/10 m²;3;;4;;;;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;16053205;Oignon*Trt Part.Aer.*Maladies des taches brunes;15/07/2025;14;47;Autorisé;5.0;g/10 m²;3;;4;;;;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;16803201;Oignon*Trt Part.Aer.*Mildiou(s);15/07/2025;14;47;Autorisé;5.0;g/10 m²;3;;4;;;;5.0;;;;
PPP;2250161;BOUILLIE BORDELAISE 20 MICRO JARDIN;;INDUSTRIAS QUIMICAS DEL VALLES;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Production biologique amateur | Emploi autorisé dans les jardins;bouillie bordelaise (Copper compounds) 733.4 g/kg;Fongicide;Granulé dispersable;12503301;Olivier*Trt Part.Aer.*Bactériose(s);15/07/2025;10;85;Autorisé;5.0;g/10 m²;14;;4;;;;5.0;;;;
